,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
0,How to Learn Online,124980,Introductory,Education & Teacher Training,English,English,2 Weeks,49.0,6124020.0
1,Programming for Everybody (Getting Started with Python),293864,Introductory,Computer Science,English,English,7 Weeks,49.0,14399336.0
2,CS50's Introduction to Computer Science,2442271,Introductory,Computer Science,English,English,12 Weeks,90.0,219804390.0
3,The Analytics Edge,129555,Intermediate,Data Analysis & Statistics,English,English,13 Weeks,199.0,25781445.0
4,Marketing Analytics: Marketing Measurement Strategy,81140,Introductory,Computer Science,English,English,4 Weeks,249.0,20203860.0
5,Introduction to Project Management,301793,Introductory,Business & Management,English,English,6 Weeks,199.0,60056807.0
6,Leading High-Performing Teams,32847,Intermediate,Communication,English,English,10 Weeks,5.0,164235.0
7,The Foundations of Happiness at Work,67073,Introductory,Business & Management,English,English,4 Weeks,199.0,13347527.0
8,"Managing Study, Stress and Mental Health at University",23061,Introductory,Health & Safety,English,English,2 Weeks,49.0,1129989.0
9,Six Sigma: Define and Measure,92411,Introductory,Business & Management,English,English,8 Weeks,99.0,9148689.0
10,Fat Chance: Probability from the Ground Up,66835,Introductory,Math,English,English,7 Weeks,49.0,3274915.0
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Introductory,Communication,English,English,5 Weeks,49.0,2190839.0
12,Bitcoin and Cryptocurrencies,83398,Introductory,Computer Science,English,English,6 Weeks,99.0,8256402.0
14,Ethics in Action,6366,Intermediate,Ethics,English,"English, Español, Русский",10 Weeks,49.0,311934.0
15,Introduction to FinTech,72767,Introductory,Economics & Finance,English,"English, 中文, 中文",6 Weeks,199.0,14480633.0
16,Data Science: R Basics,528782,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,25910318.0
17,Python Basics for Data Science,228809,Introductory,Data Analysis & Statistics,English,English,5 Weeks,39.0,8923551.0
18,The Science of Beer,39085,Introductory,Food & Nutrition,English,English,6 Weeks,49.0,1915165.0
19,Strategic Social Media Marketing,103640,Advanced,Business & Management,English,English,6 Weeks,399.0,41352360.0
20,CS50's Introduction to Artificial Intelligence with Python,258006,Introductory,Computer Science,English,English,7 Weeks,199.0,51343194.0
21,CS50's Introduction to Game Development,346748,Intermediate,Computer Science,English,English,12 Weeks,149.0,51665452.0
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Introductory,Humanities,English,English,8 Weeks,99.0,31702275.0
23,CS50's Web Programming with Python and JavaScript,698950,Intermediate,Computer Science,English,English,12 Weeks,90.0,62905500.0
24,Contract Law: From Trust to Promise to Contract,414181,Intermediate,Business & Management,English,English,8 Weeks,125.0,51772625.0
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Introductory,Biology & Life Sciences,English,English,5 Weeks,99.0,37636533.0
26,Justice,392588,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",12 Weeks,99.0,38866212.0
27,Data Science: Machine Learning,276209,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,13534241.0
28,Child Protection: Children's Rights in Theory and Practice,212453,Introductory,Social Sciences,English,English,16 Weeks,99.0,21032847.0
29,IELTS Academic Test Preparation,1103777,Introductory,Communication,English,English,8 Weeks,99.0,109273923.0
30,The Architectural Imagination,406181,Introductory,Architecture,English,English,10 Weeks,99.0,40211919.0
31,TOEFL® Test Preparation: The Insider’s Guide,1022489,Introductory,Communication,English,English,6 Weeks,49.0,50101961.0
32,Principles of Biochemistry,257600,Intermediate,Medicine,English,English,15 Weeks,199.0,51262400.0
33,Using Python for Research,262183,Intermediate,Computer Science,English,English,12 Weeks,99.0,25956117.0
34,Hinduism Through Its Scriptures,140782,Introductory,Humanities,English,English,4 Weeks,99.0,13937418.0
35,Basic Spanish 1: Getting Started,400169,Introductory,Communication,English,"English, Español",7 Weeks,40.0,16006760.0
36,The Health Effects of Climate Change,110024,Introductory,Environmental Studies,English,English,7 Weeks,99.0,10892376.0
37,Inglés básico: conversacional y networking,79671,Introductory,Business & Management,Español,"English, Español",4 Weeks,49.0,3903879.0
38,Statistics and R,314586,Intermediate,Data Analysis & Statistics,English,English,4 Weeks,249.0,78331914.0
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Introductory,Chemistry,English,English,16 Weeks,199.0,28857189.0
